1E BCH1A 1E Station
1E BCH2A 1E Station
1E BCH2B 1E Station
1E MONT4 1E Station
1E MONT5 1E Station
1E MONT7 1E Station
1E MONT8 1E Station
1T MTSB  MTSB
AU WTPK  AU Station
AU XMI   AU Station
AU XMI   Christmas Island Airport, Australia
AU YAPP  AU Station
AU YARR  AU Station
AU YNG   AU Station
AV ADAG  AV Station
AV ADKI  AV Station
AV AHB   AV Station
AV AKBB  AV Station
AV AKGG  AV Station
AV AKHS  AV Station
AV AKLV  AV Station
AV AKMO  AV Station
AV AKRB  AV Station
AV AKS   AV Station
AV AKV   AV Station
AV AMKA  AV Station
AV ANNE  AV Station
AV ANNW  AV Station
AV ANON  AV Station
AV ANPB  AV Station
AV ANPK  AV Station
AV AU22  AV Station
AV AUCH  AV Station
AV AUJA  AV Station
AV AUJK  AV Station
AV AUL   AV Station
AV AULG  AV Station
AV AUNO  AV Station
AV AUSB  AV Station
AV AUW   AV Station
AV AUWS  AV Station
AV AZAC  AV Station
AV BPBC  AV Station
AV CEAP  AV Station
AV CEPE  AV Station
AV CERA  AV Station
AV CERB  AV Station
AV CESW  AV Station
AV CETU  AV Station
AV CLCO  AV Station
AV CLCO1 AV Station
AV CLCO2 AV Station
AV CLCO3 AV Station
AV CLCO4 AV Station
AV CLCO5 AV Station
AV CLES  AV Station
AV CLES1 AV Station
AV DEER  AV Station
AV DLL   AV Station
AV DT1   AV Station
AV DTN   AV Station
AV ETKA  AV Station
AV GAEA  AV Station
AV GAKI  AV Station
AV GALA  AV Station
AV GANE  AV Station
AV GANO  AV Station
AV GASW  AV Station
AV GSCK  AV Station
AV GSIG  AV Station
AV GSMY  AV Station
AV GSSP  AV Station
AV GSTR  AV Station
AV ILCB  AV Station
AV ILLG  AV Station
AV ILNE  AV Station
AV ILS   AV Station
AV ILSW  AV Station
AV ISLZ  AV Station
AV IVE   AV Station
AV KENI  AV Station
AV KICM  AV Station
AV KIKV  AV Station
AV KIMD  AV Station
AV KINC  AV Station
AV KIRH  AV Station
AV KIWB  AV Station
AV KOFP  AV Station
AV KOKL  AV Station
AV KOKV  AV Station
AV KONE  AV Station
AV KONW  AV Station
AV KOSE  AV Station
AV KOWE  AV Station
AV LSNW  AV Station
AV LSPA  AV Station
AV LSSA  AV Station
AV LSSE  AV Station
AV LVA   AV Station
AV MAPS  AV Station
AV MGOD  AV Station
AV MNAT  AV Station
AV MREP  AV Station
AV MSW   AV Station
AV MTBL  AV Station
AV N25K  AV Station
AV NCT   AV Station
AV OKER  AV Station
AV OKFG  AV Station
AV OKNO  AV Station
AV OKSP  AV Station
AV OKTU  AV Station
AV P18K  AV Station
AV P19K  AV Station
AV PN7A  AV Station
AV PV6A  AV Station
AV Q20K  AV Station
AV RDDF  AV Station
AV RDJH  AV Station
AV RDSO  AV Station
AV RDT   AV Station
AV RDWB  AV Station
AV RED   AV Station
AV REF   AV Station
AV SDPI  AV Station
AV SPCP  AV Station
AV STLK  AV Station
AV TAFL  AV Station
AV TAFP  AV Station
AV TANO  AV Station
AV TAPA  AV Station
AV TASE  AV Station
AV TASO  AV Station
AV VNFG  AV Station
AV VNHG  AV Station
AV VNKR  AV Station
AV VNNF  AV Station
AV VNSG  AV Station
AV VNSS  AV Station
AV VNSW  AV Station
AV VNWF  AV Station
AV WACK  AV Station
AV WASW  AV Station
AV WECS  AV Station
AV WESE  AV Station
AV WESP  AV Station
AV WHTR  AV Station
AV ZRO   AV Station
AW VNA1  Station Neumayer OBS, Antarctica
AW VNA2  Station Neumayer Watz-Array Centre, Antarctica
AW VNA3  Station Neumayer Olymp, Antarctica
AW VNAA1 Station Neumayer Watz-Array A1, Antarctica
AW VNAA2 Station Neumayer Watz-Array A2, Antarctica
AW VNAA3 Station Neumayer Watz-Array A3, Antarctica
AW VNAB1 Station Neumayer Watz-Array B1, Antarctica
AW VNAB2 Station Neumayer Watz-Array B2, Antarctica
AW VNAB3 Station Neumayer Watz-Array B3, Antarctica
AW VNAB4 Station Neumayer Watz-Array B4, Antarctica
AW VNAB5 Station Neumayer Watz-Array B5, Antarctica
AW VNAC1 Station Neumayer Watz-Array C1, Antarctica
AW VNAC2 Station Neumayer Watz-Array C2, Antarctica
AW VNAC3 Station Neumayer Watz-Array C3, Antarctica
AW VNAC4 Station Neumayer Watz-Array C4, Antarctica
AW VNAC5 Station Neumayer Watz-Array C5, Antarctica
AW VNAC6 Station Neumayer Watz-Array C6, Antarctica
AW VNAC7 Station Neumayer Watz-Array C7, Antarctica
AY HINH  Hinche, NA
AZ BSAP  AZ Station
AZ CRY   AZ Station
AZ GARR  AZ Station
AZ HSSP  AZ Station
AZ KNW   AZ Station
AZ LVA2  AZ Station
AZ PFO   AZ Station
AZ RDM   AZ Station
AZ SETM  AZ Station
AZ SGBF  AZ Station
AZ SIO5  AZ Station
AZ SMER  AZ Station
AZ SND   AZ Station
AZ TONN  AZ Station
AZ TRAN  AZ Station
AZ TRO   AZ Station
AZ TUBB  AZ Station
AZ USGCB AZ Station
BC CCX   BC Station
BC CPX   BC Station
BC GUVIX BC Station
BC PIX   BC Station
BC RMX   BC Station
BC SFX   BC Station
BC SJX   BC Station
BC SLRCX BC Station
BC TJX   BC Station
BC TKX   BC Station
BC VTX   BC Station
BE BEBN  Eben-Emael, Belgium
BE BOST  Oostende, Belgium
BE MEM   BE Station
BE MEM   Membach, Belgium
BE RCHB  BE Station
